model_name,image,link,price,fuel_type,transmission,year
Volvo Xc 90 B6 Inscription 7Str,https://images10.gaadi.com/usedcar_image/4051597/original/processed_5fc44610-315d-4a7f-9a00-8ee373c7cd80.jpg?imwidth=420,/used-car-details/used-Volvo-Xc-90-B6-Inscription-7str-cars-Mumbai_09426495-182e-4db2-918e-e1db7437ef6d.htm,7500000.0,Unknown,Unknown,2022
Volvo V40 Cross Country T4,https://images10.gaadi.com/usedcar_image/3984276/original/processed_63c1b7d33d9622ec13e671876a6ef621.jpg?imwidth=420,/used-car-details/used-Volvo-V40-Cross-Country-T4-cars-Mumbai_7f2c98c1-cec6-4721-815b-6a588ffb9788.htm,1245000.0,Unknown,Unknown,2015
Volvo Xc60 B5 Inscripition,https://images10.gaadi.com/usedcar_image/4031006/original/processed_9cc6827f1af52e9ee147d870c6b7a2b1.jpeg?imwidth=420,/used-car-details/used-Volvo-Xc60-B5-Inscripition-cars-Mumbai_f9b4ff79-cfdd-4bf7-9f0c-cd3680fb1564.htm,5275000.0,Unknown,Unknown,2021
Volvo Xc40 T4 R-Design Bsiv,https://images10.gaadi.com/usedcar_image/4054750/original/processed_afc5943a3e3042cf8e3a2bf2bc477a75.jpg?imwidth=420,/used-car-details/used-Volvo-Xc40-T4-R-Design-Bsiv-cars-Mumbai_9256ef97-e0f2-4542-91ca-df2628195e9d.htm,3450000.0,Unknown,Unknown,2020
Volvo Xc40 T4 R-Design Bsiv,https://images10.gaadi.com/usedcar_image/4048066/original/processed_c005cc5d39f917881da767483351fd6d.jpg?imwidth=420,/used-car-details/used-Volvo-Xc40-T4-R-Design-Bsiv-cars-Mumbai_21aadb70-d97a-4ca9-87b0-86a0fcb07ce7.htm,3450000.0,Unknown,Unknown,2020
Volvo S60 Cross Country D4 Awd Bsiv,https://images10.gaadi.com/usedcar_image/4016499/original/processed_40ce4262d511276ed0b1a72732623bbd.jpg?imwidth=420,/used-car-details/used-Volvo-S60-Cross-Country-D4-Awd-Bsiv-cars-Mumbai_e2ca6524-4521-4c05-bb38-590538f97600.htm,1775000.0,Unknown,Unknown,2016
Volvo Xc60 B5 Inscripition,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc60-B5-Inscripition-cars-Mumbai_34236710-3804-4fb5-ab2e-977d4dbfe02b.htm,5275000.0,Unknown,Unknown,2021
Volvo Xc 90 D5 Inscription Bsiv,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc-90-D5-Inscription-Bsiv-cars-Mumbai_dc6abf82-c687-42a7-885a-51a460789553.htm,5100000.0,Unknown,Unknown,2017
Unknown,https://stimg.cardekho.com/usedcar/SRP/Icon-Container.svg,No Link,,Unknown,Unknown,
Volvo Xc60 B5 Ultimate,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc60-B5-Ultimate-cars-Mumbai_8cbaa2a2-7679-4ef5-99ab-6597ad5024e3.htm,6750000.0,Unknown,Unknown,2023
Volvo V40 D3 R Design,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-V40-D3-R-Design-cars-Mumbai_d5e84b1c-f2c4-48f2-bbdb-ab79bd826c0b.htm,1380000.0,Unknown,Unknown,2017
Volvo S60 D4 Kinetic,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-S60-D4-Kinetic-cars-Mumbai_077005dd-06af-4a83-b4e4-8e9374b0945f.htm,749000.0,Unknown,Unknown,2013
Volvo Xc40 Recharge P8 Awd,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc40-Recharge-P8-Awd-cars-Mumbai_6c10db6a-a09b-4edd-96b9-ad8ea3a9626f.htm,4695000.0,Unknown,Unknown,2023
Volvo Xc 90 B6 Ultimate,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc-90-B6-Ultimate-cars-Mumbai_251bd733-d817-4c33-b1ac-32ab591ee712.htm,9795000.0,Unknown,Unknown,2024
Volvo Xc60 B5 Inscripition,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc60-B5-Inscripition-cars-Mumbai_b3dbd930-9385-490d-a11b-daa50264ffef.htm,5275000.0,Unknown,Unknown,2021
Volvo Xc40 D4 Inscription,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc40-D4-Inscription-cars-Mumbai_5131ab05-d3c3-4b5e-a790-e24e0b2279f3.htm,2550000.0,Unknown,Unknown,2018
Volvo Xc 90 B6 Ultimate,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc-90-B6-Ultimate-cars-Mumbai_60d081e6-b2df-4d2f-9608-05328dc29aca.htm,9795000.0,Unknown,Unknown,2024
Volvo Xc 90 D5 Inscription,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-Xc-90-D5-Inscription-cars-Mumbai_3384fe76-3d21-43e2-91a6-6498eca6b3f8.htm,6000000.0,Unknown,Unknown,2020
Volvo S60 Cross Country D4 Awd Bsiv,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-S60-Cross-Country-D4-Awd-Bsiv-cars-Mumbai_4092636a-a1aa-4e40-84a9-b8a76e79cc0b.htm,1925000.0,Unknown,Unknown,2017
Volvo S60 Cross Country D4 Awd Bsiv,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-S60-Cross-Country-D4-Awd-Bsiv-cars-Mumbai_0b7c029e-7b38-4a8a-ab3a-f68779234c86.htm,1925000.0,Unknown,Unknown,2017
Volvo V90 Cross Country D5 Inscription Bsiv,https://stimg.cardekho.com/pwa/img/spacer3x2.png,/used-car-details/used-Volvo-V90-Cross-Country-D5-Inscription-Bsiv-cars-Mumbai_2eb56265-d378-42df-a952-93c40d1dc0e2.htm,3400000.0,Unknown,Unknown,2017
